122: /gasp (Function Address: 0x004F7019, Restriction: 0, Category: 2)
123: /giggle (Function Address: 0x004F704E, Restriction: 0, Category: 2)
124: /glare (Function Address: 0x004F7083, Restriction: 0, Category: 2)
125: /grin (Function Address: 0x004F70B8, Restriction: 0, Category: 2)
126: /groan (Function Address: 0x004F70ED, Restriction: 0, Category: 2)
127: /grovel (Function Address: 0x004F7122, Restriction: 0, Category: 2)
128: /happy (Function Address: 0x004F7157, Restriction: 0, Category: 2)
129: /hungry (Function Address: 0x004F718C, Restriction: 0, Category: 2)
130: /introduce (Function Address: 0x004F71C1, Restriction: 0, Category: 2)
131: /jk (Function Address: 0x004F71F6, Restriction: 0, Category: 2)
132: /kneel (Function Address: 0x004F722B, Restriction: 0, Category: 2)
133: /lost (Function Address: 0x004F7260, Restriction: 0, Category: 2)
134: /massage (Function Address: 0x004F7295, Restriction: 0, Category: 2)
135: /moan (Function Address: 0x004F72CA, Restriction: 0, Category: 2)
136: /mourn (Function Address: 0x004F72FF, Restriction: 0, Category: 2)
137: /peer (Function Address: 0x004F7334, Restriction: 0, Category: 2)
138: /point (Function Address: 0x004F7369, Restriction: 0, Category: 2)
139: /ponder (Function Address: 0x004F739E, Restriction: 0, Category: 2)
140: /puzzle (Function Address: 0x004F73D3, Restriction: 0, Category: 2)
141: /raise (Function Address: 0x004F7408, Restriction: 0, Category: 2)
142: /ready (Function Address: 0x004F743D, Restriction: 0, Category: 2)
143: /roar (Function Address: 0x004F7472, Restriction: 0, Category: 2)
144: /salute (Function Address: 0x004F74A7, Restriction: 0, Category: 2)
145: /shiver (Function Address: 0x004F74DC, Restriction: 0, Category: 2)
146: /shrug (Function Address: 0x004F7511, Restriction: 0, Category: 2)
147: /sigh (Function Address: 0x004F7546, Restriction: 0, Category: 2)
148: /smirk (Function Address: 0x004F757B, Restriction: 0, Category: 2)
149: /snarl (Function Address: 0x004F75B0, Restriction: 0, Category: 2)
150: /snicker (Function Address: 0x004F75E5, Restriction: 0, Category: 2)
151: /stare (Function Address: 0x004F761A, Restriction: 0, Category: 2)
152: /tap (Function Address: 0x004F764F, Restriction: 0, Category: 2)
153: /tease (Function Address: 0x004F7684, Restriction: 0, Category: 2)
154: /thank (Function Address: 0x004F76B9, Restriction: 0, Category: 2)
155: /thirsty (Function Address: 0x004F76EE, Restriction: 0, Category: 2)
156: /veto (Function Address: 0x004F7723, Restriction: 0, Category: 2)
157: /welcome (Function Address: 0x004F7758, Restriction: 0, Category: 2)
158: /whine (Function Address: 0x004F778D, Restriction: 0, Category: 2)
159: /whistle (Function Address: 0x004F77C2, Restriction: 0, Category: 2)
160: /yawn (Function Address: 0x004F77F7, Restriction: 0, Category: 2)
161: /smack (Function Address: 0x004F782C, Restriction: 0, Category: 2)
162: /pat (Function Address: 0x004F7861, Restriction: 0, Category: 2)
163: /fidget (Function Address: 0x004F7896, Restriction: 0, Category: 2)
164: /flex (Function Address: 0x004F796A, Restriction: 0, Category: 2)
165: /nudge (Function Address: 0x004F78CB, Restriction: 0, Category: 2)
166: /purr (Function Address: 0x004F7900, Restriction: 0, Category: 2)
167: /kiss (Function Address: 0x004F7935, Restriction: 0, Category: 0)
168: /time (Function Address: 0x004F5A2C, Restriction: 0, Category: 1)
169: /discipline (Function Address: 0x004F4FB5, Restriction: 0, Category: 1)
170: /random (Function Address: 0x004F62AA, Restriction: 0, Category: 1)
171: /summon (Function Address: 0x004F8C9B, Restriction: 3, Category: 0)
172: /broadcast (Function Address: 0x004F416C, Restriction: 4, Category: 0)
173: /lastname (Function Address: 0x004F4086, Restriction: 4, Category: 0)
174: /zone (Function Address: 0x004F43E2, Restriction: 3, Category: 0)
175: /kick (Function Address: 0x004F418D, Restriction: 4, Category: 0)
176: /kill (Function Address: 0x004F45AF, Restriction: 3, Category: 0)
177: /delcorpse (Function Address: 0x004F470F, Restriction: 8, Category: 0)
178: /hideme (Function Address: 0x004F4277, Restriction: 3, Category: 0)
179: /servers (Function Address: 0x004F43BC, Restriction: 3, Category: 0)
180: /height (Function Address: 0x004F47B8, Restriction: 4, Category: 0)
181: /exit (Function Address: 0x004FA8C5, Restriction: 0, Category: 1)
182: /loot (Function Address: 0x004FB5AE, Restriction: 0, Category: 1)
183: /roleplay (Function Address: 0x004FC433, Restriction: 0, Category: 1)
184: /follow (Function Address: 0x004FC259, Restriction: 0, Category: 1)
185: /report (Function Address: 0x004F3E8E, Restriction: 0, Category: 1)
186: /surname (Function Address: 0x004F3DDB, Restriction: 0, Category: 1)
187: /log (Function Address: 0x004FBAD0, Restriction: 0, Category: 1)
188: /toggletell (Function Address: 0x004FA597, Restriction: 3, Category: 0)
189: /inquire (Function Address: 0x004FA64B, Restriction: 3, Category: 0)
190: /praise (Function Address: 0x004FA686, Restriction: 3, Category: 0)
191: /warn (Function Address: 0x004FA6C1, Restriction: 3, Category: 0)
192: /edit (Function Address: 0x004FA6FC, Restriction: 3, Category: 0)
193: /voice (Function Address: 0x004F6041, Restriction: 0, Category: 4)
194: /microphone (Function Address: 0x004F60E0, Restriction: 0, Category: 4)
195: /movelog (Function Address: 0x004FBA78, Restriction: 0, Category: 1)
196: /hidecorpses (Function Address: 0x004FB5EB, Restriction: 0, Category: 1)
197: /vrdelay (Function Address: 0x004F6150, Restriction: 0, Category: 1)
198: /reverb (Function Address: 0x0043777E, Restriction: 0, Category: 1)
199: /fastdrop (Function Address: 0x004F9222, Restriction: 0, Category: 1)
200: /trackplayers (Function Address: 0x004F9764, Restriction: 0, Category: 1)
201: /help (Function Address: 0x004F92F5, Restriction: 0, Category: 1)
202: /lfg (Function Address: 0x004F9518, Restriction: 0, Category: 1)
203: /approval (Function Address: 0x004F9673, Restriction: 4, Category: 0)
204: /sit (Function Address: 0x004FCF3F, Restriction: 0, Category: 1)
205: /stand (Function Address: 0x004FCF91, Restriction: 0, Category: 1)
206: /book (Function Address: 0x004FCFA6, Restriction: 0, Category: 1)
207: /cast (Function Address: 0x004FD12C, Restriction: 0, Category: 1)
208: /doability (Function Address: 0x004FD260, Restriction: 0, Category: 1)
209: /whotarget (Function Address: 0x004FD2FA, Restriction: 0, Category: 1)
210: /language (Function Address: 0x004FD44A, Restriction: 0, Category: 1)
211: /target (Function Address: 0x004FD9A7, Restriction: 0, Category: 1)
212: /camp (Function Address: 0x004FD311, Restriction: 0, Category: 1)
213: /attack (Function Address: 0x004FD3DA, Restriction: 0, Category: 1)
214: /invite (Function Address: 0x004FD38D, Restriction: 0, Category: 1)
215: /disband (Function Address: 0x004FD3C5, Restriction: 0, Category: 1)
216: /note (Function Address: 0x004FBB72, Restriction: 0, Category: 1)
217: /wincolor (Function Address: 0x004FDDCD, Restriction: 0, Category: 5)
218: /usercolor (Function Address: 0x004FE3A2, Restriction: 0, Category: 1)
219: /resetwindows (Function Address: 0x0043777E, Restriction: 0, Category: 0)
220: /mcicontrol (Function Address: 0x004FF739, Restriction: 0, Category: 1)
221: /popmail (Function Address: 0x0043777E, Restriction: 0, Category: 0)
222: /audiodebug (Function Address: 0x004F60F6, Restriction: 0, Category: 1)
223: /dynamiclights (Function Address: 0x004FDA22, Restriction: 0, Category: 1)
224: /chatfontsize (Function Address: 0x004FDB25, Restriction: 0, Category: 1)
225: /lootnodrop (Function Address: 0x004F5C8B, Restriction: 0, Category: 1)
226: /reversesound (Function Address: 0x004FB9A2, Restriction: 0, Category: 1)
227: /emotezone (Function Address: 0x004FB964, Restriction: 4, Category: 0)
228: /invwinlabels (Function Address: 0x004FDC50, Restriction: 0, Category: 1)
229: /tracksort (Function Address: 0x004F98B1, Restriction: 0, Category: 1)
230: /trackfilter (Function Address: 0x004F9B3B, Restriction: 0, Category: 1)
231: /mousespeed (Function Address: 0x004F9E87, Restriction: 0, Category: 1)
232: /gems (Function Address: 0x004FA556, Restriction: 0, Category: 1)
233: /inspect (Function Address: 0x004FB87F, Restriction: 0, Category: 1)
